20200516,35
20200515,76
20200514,58
20200513,86
20200512,88
20200511,35
20200510,5
20200509,22
20200508,54
20200507,74
20200506,71
20200505,75
20200504,47
20200503,4
20200502,11
20200501,22
20200430,57
20200429,59
20200428,60
20200427,74
20200426,3
20200425,42
20200424,78
20200423,80
20200422,85
20200421,89
20200420,42
20200419,43
20200418,46
20200417,97
20200416,94
20200415,44
20200414,80
20200413,38
20200412,18
20200411,20
20200410,48
20200409,83
20200408,56
20200407,67
20200406,62
20200405,6
20200404,26
20200403,49
20200402,50
20200401,71
20200331,66
20200330,62
20200329,6
20200328,66
20200327,96
20200326,95
20200325,68
20200324,71
20200323,24
20200322,1
20200321,21
20200320,34
20200319,77
20200318,50
20200317,43
20200316,35
20200315,2
20200314,27
20200313,63
20200312,36
20200311,60
20200310,57
20200309,35
20200308,6
20200307,45
20200306,66
20200305,73
20200304,65
20200303,67
20200302,46
20200301,4
20200229,29
20200228,48
20200227,98
20200226,62
20200225,37
20200224,23
20200223,16
20200222,35
20200221,108
20200220,56
20200219,85
20200218,70
20200217,47
20200216,4
20200215,30
20200214,62
20200213,73
20200212,61
20200211,95
20200210,63
20200209,4
20200208,32
20200207,120
20200206,88
20200205,121
20200204,84
20200203,30
20200202,2
20200201,14
20200131,37
20200130,59
20200129,66
20200128,56
20200127,62
20200126,12
20200125,29
20200124,50
20200123,67
20200122,62
20200121,76
20200120,47
20200119,11
20200118,22
20200117,68
20200116,61
20200115,75
20200114,87
20200113,48
20200112,9
20200111,33
20200110,66
20200109,56
20200108,60
20200107,66
20200106,38
20200105,1
20200104,2
20200103,32
20200102,2
20200101,12
20191231,32
20191230,25
20191229,1
